ID	AVVIG97	AVGROW97	FLEAR	FRDA1	FREAR	AVCFWHA	AVNCFWH	AVYTFNW
SYNAGAD_051	-1.853679555	1.97E-08	-6.34500794	-7.178013057	-1.963345895	-0.777287367	-0.898533906	-0.787173716
SYNAGAD_052	-1.853679555	1.27E-07	-7.865809668	-7.178013057	-0.844090848	-0.643940566	-0.454328707	-0.601098682
SYNAGAD_053	-1.041467645	5.32E-08	-6.34500794	-5.434046424	-0.346644161	-0.522615836	-0.609241517	-0.495807278
SYNAGAD_054	-1.853679555	1.08E-07	-7.358875759	-7.982920733	-1.963345895	-0.895606	-0.750902007	-0.857486063
SYNAGAD_055	-1.603768198	-2.23E-08	0.245132877	3.017484179	2.638035963	-1.112268414	-0.989683685	-1.067022615
SYNAGAD_056	1.95746864	-8.92E-09	1.765934605	3.017484179	1.518780917	0.388166322	0.225251092	0.371983687
SYNAGAD_057	-0.416689253	1.21E-08	-5.331140122	-1.007054204	3.011120979	-0.286713469	-0.31556654	-0.2664347
SYNAGAD_058	3.082069745	4.46E-08	0.752066787	-0.604600365	-1.092814192	0.338959741	0.212455543	0.1787488
SYNAGAD_059	2.70720271	-4.43E-08	0.245132877	1.810122664	1.518780917	0.414434345	0.564028308	0.420982848
SYNAGAD_060	0.832867532	4.27E-08	-0.768734941	1.810122664	2.264950948	0.186212656	0.358649811	0.235003419
SYNAGAD_061	3.519414619	6.36E-09	4.807538059	1.810122664	-1.838984223	0.270752049	0.419173913	0.302661319
SYNAGAD_062	-1.103945484	1.69E-08	-4.317272304	-2.616869557	0.772610886	0.025269422	0.106371737	-0.042786993
SYNAGAD_063	-0.416689253	1.57E-07	1.765934605	1.005214988	-0.346644161	0.154447271	0.379243608	0.18746446
SYNAGAD_064	-0.416689252	5.51E-08	-1.27566885	-0.604600365	0.39952587	0.729421088	0.727970874	0.746991948
SYNAGAD_065	1.457645924	3.79E-08	-4.824206213	-4.22668491	-0.346644161	0.05788901	0.186927372	-0.025805485
SYNAGAD_066	-0.60412277	3.79E-08	-6.851941849	-7.178013057	-1.59026088	-0.396517456	-0.548557637	-0.425171231
