ID	AVVIG97	AVGROW97	FLEAR	FRDA1	FREAR	AVCFWHA	AVNCFWH	AVYTFNW
SYNAGAD_001	2.227833145	-5.051944539	7.804850302	10.53003005	2.627957197	1.189411854	1.253133732	1.196564069
SYNAGAD_002	0.195233607	3.469013059	-0.997612445	-5.748405433	-4.312235334	-0.555608472	-0.616618761	-0.53351397
SYNAGAD_003	-1.634105977	6.135877652	-6.865920942	-2.875740348	3.495481263	-0.581960622	-0.763697755	-0.5911302
SYNAGAD_004	-1.837365931	7.371741733	-6.865920942	-2.875740348	3.495481263	-0.814204122	-0.785297435	-0.796680282
SYNAGAD_005	-2.142255862	3.989376883	-6.865920942	-7.66351549	-0.842139069	-0.944268359	-1.142458942	-0.942942175
SYNAGAD_006	-1.329216046	2.103058024	-6.865920942	-6.705960461	0.025384998	0.027036614	-0.876815359	-0.022297841
SYNAGAD_007	-1.837365931	8.737696767	-6.865920942	-4.790850405	1.76043313	-0.844658828	-0.74158608	-0.816967045
SYNAGAD_008	-2.142255862	2.753512804	-6.865920942	-4.790850405	1.76043313	-0.807522831	-1.001695636	-0.853843742
SYNAGAD_009	-2.243885839	4.184513318	-9.800075191	-6.705960461	2.627957197	-1.012456466	-0.891561259	-0.985359463
SYNAGAD_010	-2.243885839	7.241650776	-4.90981811	-6.705960461	-1.709663135	-0.857625501	-0.996549763	-0.912759421
SYNAGAD_011	-2.142255862	1.257466813	-6.865920942	-4.790850405	1.76043313	-0.941888661	-1.019405309	-0.967434668
SYNAGAD_012	-1.532476	3.534058538	-7.843972359	-5.748405433	1.76043313	-0.735346632	-0.957810861	-0.809041128
SYNAGAD_013	-1.938995908	4.318404291	-9.800075191	-7.66351549	1.76043313	-0.977171901	-0.939179515	-1.006486128
SYNAGAD_014	-2.650405747	-0.108488222	-9.800075191	-9.578625546	0.025384998	-1.116514866	-1.146881913	-1.121324493
SYNAGAD_015	-2.142255862	3.338922105	-2.953715277	-5.748405433	-2.577187202	-0.589098173	-0.730717795	-0.619513896
SYNAGAD_016	-2.447145793	1.257466813	-6.865920942	-9.578625546	-2.577187202	-0.861809681	-0.960315354	-0.845226284
SYNAGAD_017	-2.345515816	4.900013573	-9.800075191	-8.621070518	0.892909064	-0.983087061	-0.908720996	-0.979374955
SYNAGAD_018	-2.243885839	6.005786698	-9.800075191	-9.578625546	0.025384998	-1.057983665	-0.918780601	-1.043699045
SYNAGAD_019	-1.938995908	3.729194972	-7.843972359	-8.621070518	-0.842139069	-0.704613125	-0.969915547	-0.719511989
SYNAGAD_020	-1.532476001	7.176605299	-9.800075191	-8.621070518	0.892909064	-0.800666759	-0.824072544	-0.825304312
SYNAGAD_021	-0.922696139	0.600889788	-7.843972359	-6.705960461	0.892909064	-0.906487405	-0.98100063	-0.873841398
SYNAGAD_022	-1.837365931	0.607012033	-6.865920942	-7.66351549	-0.842139069	-0.761352798	-0.935487926	-0.759850376
SYNAGAD_023	-1.938995908	1.387557769	-7.843972359	-6.705960461	0.892909064	-0.937457037	-0.83520792	-0.92818945
SYNAGAD_024	-1.634105977	5.127672745	-6.865920942	-3.833295377	2.627957197	-0.78245119	-0.839346681	-0.785364722
SYNAGAD_025	-1.634105978	6.721286953	-7.843972359	-8.621070518	-0.842139069	-0.889392131	-1.085912729	-0.924179025
